Ticker,Date,Time,Titles,neg,neu,pos,compound,roberta_sent,roberta_score,rob_positive,rob_negative,rob_neutral,date_time
AMZN,2023-04-24,21:23:00,Time to Buy Amazon or Microsoft Stock with Earnings Approaching?,0.0,0.841,0.159,0.1779,neutral,0.8371696472167969,0.16379814,0.015855704,0.82034606,2023-04-24 21:23:00
AMZN,2023-04-24,18:59:00,Amazon Faces Backlash Over One Of Its Budget Cuts,0.202,0.642,0.156,-0.128,negative,0.6640121340751648,0.014129342,0.7117607,0.27411005,2023-04-24 18:59:00
AMZN,2023-04-24,18:18:00,"Big Tech Earnings Are Coming. What to Know About Amazon, Microsoft, Alphabet, and Meta.",0.0,0.884,0.116,0.1779,positive,0.8856288194656372,0.8416724,0.002016984,0.15631059,2023-04-24 18:18:00
AMZN,2023-04-24,17:53:00,Amazon Contract Drivers in California Join Teamsters Union,0.0,0.606,0.394,0.4404,neutral,0.8395172953605652,0.120215006,0.046438053,0.83334696,2023-04-24 17:53:00
AMZN,2023-04-24,17:31:00,"Bed Bath & Beyond bankruptcy  I dont think anyones even going to notice it's gone: Former Toys ""R"" Us CEO",0.0,1.0,0.0,0.0,negative,0.5745358467102051,0.07495687,0.53577685,0.38926625,2023-04-24 17:31:00
AMZN,2023-04-24,17:23:00,Amazon Faces Pushback Over Ending Popular Giveback,0.0,0.526,0.474,0.5423,neutral,0.7903358340263367,0.17677797,0.07162894,0.7515931,2023-04-24 17:23:00
AMZN,2023-04-24,16:38:00,"FAANG Stock Pain Ahead? Tech Earnings This Week: Microsoft, Google, Meta, Amazon, and More!",0.208,0.694,0.098,-0.4389,neutral,0.6107344627380371,0.2202306,0.15795173,0.6218177,2023-04-24 16:38:00
AMZN,2023-04-24,16:18:00,AI Chatbot Crackdown: Microsoft & Co. Face Regulatory Heat In Europe as ChatGPT Reignites Debate,0.0,1.0,0.0,0.0,neutral,0.5019356608390808,0.047362294,0.34946918,0.60316855,2023-04-24 16:18:00
AMZN,2023-04-24,16:10:00,Microsoft earnings: AI hype could take backseat to cloud growth troubles,0.205,0.616,0.178,-0.1027,neutral,0.5693510174751282,0.1227668,0.27910537,0.59812784,2023-04-24 16:10:00
AMZN,2023-04-24,16:00:00,Amazon May Have Made a Mistake in Killing a Popular Program,0.417,0.307,0.276,-0.5106,negative,0.7750659584999084,0.008503903,0.8401528,0.15134332,2023-04-24 16:00:00
AMZN,2023-04-24,15:49:00,"Wall Street Headlines, International Investing, and Stocks to Watch",0.0,1.0,0.0,0.0,neutral,0.9095219373703003,0.09744983,0.029500876,0.8730493,2023-04-24 15:49:00
AMZN,2023-04-24,15:47:00,These 3 Quarterly Reports Could Shake the Market,0.221,0.779,0.0,-0.1779,neutral,0.8350449204444885,0.24504209,0.022885311,0.73207265,2023-04-24 15:47:00
AMZN,2023-04-24,14:44:00,Big Tech Earnings Looming: What to Expect,0.2,0.8,0.0,-0.128,neutral,0.6610801219940186,0.5244166,0.0036623923,0.47192097,2023-04-24 14:44:00
AMZN,2023-04-24,14:39:00,"Why Meta, Microsoft and Amazon stock have out-performed in 2023: Morning Brief",0.0,0.866,0.134,0.1779,neutral,0.5628830790519714,0.31526116,0.07696296,0.60777587,2023-04-24 14:39:00
AMZN,2023-04-24,13:47:00,Wall Street Headlines and a Closer Look at the Business of Movies,0.0,1.0,0.0,0.0,neutral,0.9327341318130493,0.05706918,0.054636225,0.8882946,2023-04-24 13:47:00
AMZN,2023-04-24,13:04:00,Tech layoffs: Smaller companies still hiring top talent as tech giants cut jobs,0.126,0.599,0.275,0.3612,neutral,0.4938971996307373,0.20380187,0.12509753,0.6711006,2023-04-24 13:04:00
AMZN,2023-04-24,12:51:00,Techs obsession with founder-CEOs is not over yet,0.255,0.745,0.0,-0.34,neutral,0.5994663834571838,0.080268785,0.42373243,0.49599877,2023-04-24 12:51:00
AMZN,2023-04-24,12:49:00,"Bed Bath & Beyond bankruptcy poised to boost online retailers Wayfair, Overstock: Analyst",0.0,0.68,0.32,0.5719,neutral,0.8638407588005066,0.5319708,0.0036800143,0.46434915,2023-04-24 12:49:00
AMZN,2023-04-24,12:48:00,Amazon's AWS Adds New Threat Detection Capabilities To Boost Customer Security,0.206,0.485,0.309,0.1779,positive,0.5792421698570251,0.6802713,0.0061952407,0.31353348,2023-04-24 12:48:00
AMZN,2023-04-24,12:24:00,The Companies Conducting Layoffs in 2023: Heres the List,0.0,1.0,0.0,0.0,neutral,0.945494532585144,0.026394928,0.09299719,0.88060784,2023-04-24 12:24:00
AMZN,2023-04-24,12:12:00,"Big Tech Earnings Preview: Microsoft, Meta, Google, Amazon On Deck as Market Eyes AI Impact, Job Cuts, Profit Outlooks",0.096,0.702,0.202,0.34,neutral,0.6193799376487732,0.5455294,0.0059796977,0.44849092,2023-04-24 12:12:00
AMZN,2023-04-24,12:00:00,Amazon's vocal vault,0.0,1.0,0.0,0.0,neutral,0.7802037000656128,0.08204925,0.09705846,0.8208923,2023-04-24 12:00:00
AMZN,2023-04-24,11:21:00,3 Magnificent Stocks Warren Buffett Regrets Not Buying Sooner,0.202,0.484,0.315,0.34,neutral,0.4892112910747528,0.26592466,0.12108492,0.61299044,2023-04-24 11:21:00
AMZN,2023-04-24,10:58:00,3 Retail Pharmacy and Drugstore Stocks to Watch in a Growing Industry,0.0,0.841,0.159,0.1779,neutral,0.7790481448173523,0.18098873,0.014566692,0.80444455,2023-04-24 10:58:00
AMZN,2023-04-24,10:34:00,What to Expect Ahead of Amazon's (AMZN) Q1 Earnings Release?,0.0,1.0,0.0,0.0,neutral,0.8781285285949707,0.2041317,0.011192744,0.78467566,2023-04-24 10:34:00
AMZN,2023-04-24,10:05:00,ETFs in Focus Ahead of Big Tech Q1 Earnings,0.0,1.0,0.0,0.0,neutral,0.5308025479316711,0.22154307,0.006346955,0.77210987,2023-04-24 10:05:00
AMZN,2023-04-24,10:00:00,2 Top E-Commerce Stocks to Buy Right Now,0.0,0.769,0.231,0.2023,neutral,0.586550235748291,0.2805867,0.009206739,0.71020657,2023-04-24 10:00:00
AMZN,2023-04-24,09:10:00,The Digital Advertising Market Remains Healthy: These 3 Stocks Are Screaming Buys Because of It,0.15,0.694,0.156,0.0258,positive,0.589271605014801,0.7972566,0.007963432,0.19477993,2023-04-24 09:10:00
AMZN,2023-04-24,08:00:00,"AWS Announces Three New Amazon GuardDuty Capabilities to Help Customers Protect Container, Database, and Serverless Workloads",0.0,0.65,0.35,0.7184,neutral,0.5101307034492493,0.6646924,0.003134447,0.3321731,2023-04-24 08:00:00
AMZN,2023-04-24,08:00:00,"1 E-Commerce Stock on the Nasdaq-100 Investors Should Watch, and It's Not Amazon",0.121,0.879,0.0,-0.1326,neutral,0.5806681513786316,0.1380385,0.1985522,0.6634093,2023-04-24 08:00:00
AMZN,2023-04-24,07:30:00,Better Buy: Amazon vs. Disney,0.0,0.395,0.605,0.5574,neutral,0.5160531401634216,0.64381456,0.021935709,0.33424976,2023-04-24 07:30:00
AMZN,2023-04-24,04:45:00,Best $1 Trillion AI Stock: Amazon vs. Microsoft vs. Google,0.0,0.576,0.424,0.7096,positive,0.7893398404121399,0.91156,0.002184281,0.08625576,2023-04-24 04:45:00
AMZN,2023-04-23,17:00:00,3 Traps to Avoid When Shopping at Dollar Stores,0.239,0.761,0.0,-0.296,neutral,0.6765556931495667,0.02578174,0.5412125,0.43300578,2023-04-23 17:00:00
AMZN,2023-04-23,13:14:00,A Shareholder Revolt at Amazon Reveals Potential Changes Ahead,0.0,0.805,0.195,0.1779,neutral,0.8711488842964172,0.44507277,0.019321047,0.53560615,2023-04-23 13:14:00
AMZN,2023-04-23,12:47:00,Amazon Crafting Its Chips -- Is AWS Set to Dominate the Semiconductor Space?,0.106,0.775,0.12,0.0516,neutral,0.7094054818153381,0.27963236,0.011065899,0.7093017,2023-04-23 12:47:00
AMZN,2023-04-23,10:00:00,Is Amazon About to Race Ahead of Microsoft and Alphabet in the AI Arms Race?,0.0,0.892,0.108,0.1779,neutral,0.8687422275543213,0.14210728,0.07334872,0.784544,2023-04-23 10:00:00
AMZN,2023-04-23,10:00:00,Big Tech Depends on AI Shining Through Cloud Haze,0.0,1.0,0.0,0.0,neutral,0.5337948799133301,0.4379408,0.008471073,0.55358815,2023-04-23 10:00:00
AMZN,2023-04-23,09:49:00,"As Amazon cuts back, Alexa Games pushes forward with Dead Island 2 integration",0.378,0.523,0.099,-0.7003,neutral,0.7842499017715454,0.5731797,0.014976786,0.4118435,2023-04-23 09:49:00
